SampleID,Urobilin,Sumaresinolic acid,Urobilin (NIST14),Urobilin (NIST14).1,Urobilin (NIST14).2,Urobilin (NIST14).3,Urobilin (NIST14).4,Tris(2-butoxyethyl) phosphate (NIST14),Phe-Pro (NIST14),Oleoyl L-carnitine (NIST14),9(10)-EpOME (NIST14),phosphoethanolamine (NIST14),phosphocholine (NIST14),phosphocholine (NIST14).1,phosphocholine (NIST14).2,phosphocholine (NIST14).3,phosphoethanolamine (NIST14).1,phosphocholine (NIST14).4,Ricinoleic Acid methyl ester,Phytomonic acid,Phytomonic acid.1,Phenol,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(0:0/18:0); [M+H]+ C26H55N1O7P1,Palmitoyl-L-carnitine,Oleic acid methyl ester,Oleanolic acid methyl ester,Oleanolic acid,4-dihydroxyheptadec-16-en-2-yl acetate,4-dihydroxyheptadec-16-en-2-yl acetate.1,1-Phenanthrenecarboxylic acid,1-Phenanthrenecarboxylic acid.1,(E)-3-(4-methoxyphenyl),(E)-3-(4-methoxyphenyl).1,Methyl γ -linolenate,Medicagenic acid,Medicagenic acid.1,Linoleic acid methyl ester,Hederagenin,Genistein,Echinocystic acid,Daidzin,Coproporphyrin I,Coproporphyrin I.1,"cis-5,8,11,14-Eicosatetraenoic acid","cis-5,8,11,14-Eicosatetraenoic acid.1",cis-12-Octadecenoic acid methyl ester,Ceramide (18:1/16:0),Caulophyllogenin,Bacosine,Bacosine.1,"9-Oxo-10E,12Z-octadecadienoic acid",5-Hexenoic acid,4-Cholestenone,3β -Hydroxy-5-cholestenoic acid,3-Hydroxykynurenine,25(S)-26-Hydroxycholesterol,17-Octadecynoic acid,1-Palmitoyl-sn-glycero-3-phosphocholine,1-Palmitoyl-sn-glycero-3-phosphocholine.1,1-Hexadecyl-sn-glycero-3-phosphocholine,(+)-Fluprostenol lactone diol,denovo19478,denovo31970,denovo43926,denovo52359,denovo79770,denovo81639,denovo90825,denovo96132,denovo118754,denovo167965,denovo175813,denovo239422,denovo250190,denovo272061,denovo278275,denovo283443,denovo286244,denovo291148,denovo321337,denovo344458,denovo353230,denovo356692,denovo369807,denovo409528,denovo443468,denovo474098,denovo478740,denovo491556,denovo549429,denovo560339,denovo560431,denovo564490,denovo573462,denovo584291,Week,Category
570.T5,0,15874,0,0,0,0,0,0,0,0,14911,0,15425,0,0,0,0,0,0,38632,0,0,0,0,0,0,50561,0,0,0,0,0,0,0,0,0,0,0,0,0,18033,0,0,0,7853,5961,0,0,7057,72601,0,0,0,0,0,15149,0,0,69196,0,0,0,49,0,0,24,1,0,3,138,39,0,1,1,1,91,16,0,0,20,175,0,14,5,5,0,0,78,0,1,2,42,0,0,0,131,5,Placebo
571.T5,0,0,0,0,0,0,0,0,0,0,0,0,19040,0,0,0,0,0,45589,152386,0,7854,0,0,0,0,44436,4267,0,0,0,4870,0,0,0,0,0,8831,0,0,6884,0,0,0,5822,0,0,0,0,3751,0,0,0,0,0,0,0,0,54981,0,0,0,364,49,0,1,1,0,232,91,34,0,1,53,1,3,182,2,2,596,1,10,0,6,3,12,70,224,106,1,2,85,0,0,1,109,5,Placebo
572.T5,0,0,2527,0,0,0,0,0,0,0,0,7738,31150,0,0,0,0,0,0,39215,0,0,0,0,0,0,44995,0,10700,0,0,15731,0,0,0,0,0,0,4884,0,14231,0,2243,0,0,4968,0,0,1766,85668,0,0,0,3457,0,0,0,0,117275,0,0,0,7,16,8,1,14,5,9,69,1,0,0,3,0,77,4,0,2,143,40,3,0,7,4,0,44,9,0,0,0,3,1,5,1,11,5,Placebo
573.T5,0,2361,0,0,0,0,0,0,0,0,0,8114,27744,0,0,0,0,0,48658,118858,0,9056,0,0,0,0,52516,0,0,0,0,15534,0,0,0,0,0,0,0,0,0,0,0,0,0,6988,0,0,14030,0,0,0,0,0,0,0,0,0,35704,0,0,0,2,0,1,2,1,7,3,91,35,0,0,1,0,27,3,0,0,4,110,4,19,26,0,0,0,0,0,0,0,15,0,4,1,77,5,Placebo
574.T5,0,11902,2918,0,0,0,0,0,0,0,0,34979,46552,0,0,2114,0,0,33017,236305,0,45401,0,0,0,58098,188271,10182,15247,0,0,16948,3270,0,8654,0,0,81244,0,0,0,0,0,0,0,0,0,0,7439,251083,0,0,0,0,0,109892,0,0,63940,0,3858,0,47,47,3,195,18,1,53,117,93,3,0,10,3,2,11,1,0,58,2,0,101,2,6,8,0,100,96,5,2,65,1,1,1,99,5,Placebo
575.T5,0,0,0,0,0,0,0,0,0,0,0,11030,28440,0,0,0,0,0,0,164745,0,21702,0,0,0,0,104209,4511,36541,0,0,7165,0,0,26180,0,9379,14055,8096,0,2736,0,0,0,0,0,0,0,2677,81569,0,8337,0,0,0,52032,0,0,76174,0,2462,0,24,9,1,216,1,1,3,71,47,0,0,11,1,3,3,1,1,6,4,0,52,3,6,1,0,22,126,2,6,31,1,0,0,61,5,Placebo
576.T5,0,7212,0,0,0,0,0,0,0,0,7102,0,19034,0,0,0,0,0,0,41920,0,0,0,0,0,0,20324,4328,0,0,0,3768,1075,0,0,0,0,4490,15019,0,0,0,0,0,0,0,0,0,0,74503,0,0,0,0,0,0,0,0,56964,0,0,0,0,0,21,2,1,1,3,1803,0,0,0,3,0,4,32,1,0,364,75,60,0,1,0,60,0,0,1,608,0,3,31,1,0,2,5,Placebo
577.T5,0,27227,0,0,3499,0,0,17026,0,0,0,0,13506,0,0,0,0,0,0,71285,0,0,0,0,0,0,1940,16075,0,0,0,0,0,0,0,0,0,0,6218,0,0,0,0,0,0,0,0,0,0,91955,0,0,0,0,0,0,0,0,27484,0,0,0,2,0,3,2,0,0,1,1113,1,0,1,1,1,5,13,0,0,3554,94,14,2,3,11,373,0,0,0,120,0,3,19,0,1,9,5,Placebo
578.T5,0,0,0,0,0,0,0,0,0,6083,0,29909,38848,0,0,0,0,0,19288,434919,0,60320,0,0,0,43996,37321,0,60229,0,0,25235,0,1201,0,0,0,61612,14411,0,0,0,7126,0,0,0,0,3287,8085,0,0,0,0,0,0,4007,1781,0,110207,4119,0,0,17,6,0,1,0,0,14,105,0,1,195,1,0,63,19,4,0,7,26,0,6,1,7,1,0,2,22,0,5,118,1,0,105,25,5,Letrozole
580.T5,5245,0,0,6703,6519,0,0,0,0,0,0,0,15738,0,0,0,10767,0,9889,34611,0,0,0,0,0,0,34438,0,0,0,0,3232,0,0,0,0,0,0,0,0,0,0,3273,0,0,4189,0,0,3471,0,0,0,0,0,0,0,0,0,38557,0,0,0,1,0,4,0,0,8,227,433,2,1,2,112,0,2,67,14,12,10,6,2,10,247,2,0,0,1,0,1,0,6,4,4,3,62,5,Letrozole
581.T5,13247,0,0,0,9531,0,0,0,1942,0,34071,0,0,0,0,0,0,0,8395,37765,0,0,0,0,0,38356,78853,0,0,0,0,12487,0,0,0,0,0,0,0,0,0,23640,8175,0,0,6685,0,0,0,0,0,0,0,0,0,0,0,0,43303,2509,22402,0,9,1,2,1,0,4,3,203,5,11,1,1,2,7,66,7,0,19,2,0,4,47,1,0,0,0,0,2,0,38,2,1,1,83,5,Letrozole
582.T5,0,0,0,0,0,0,0,0,0,0,0,0,8514,0,0,0,0,0,0,152752,0,14946,0,0,0,0,78915,0,0,0,0,0,0,0,0,0,0,20083,7669,0,0,0,2045,0,0,0,0,0,4014,0,0,0,0,0,0,0,0,0,31460,0,0,0,0,0,0,4,0,0,271,87,0,4,0,1,2,223,9,10,1,9,100,2,5,65,11,1,1,20,0,17,3,32,0,0,265,136,5,Letrozole
583.T5,0,0,0,0,0,0,0,0,0,0,0,0,22912,0,0,0,0,0,20777,115298,0,3090,0,0,0,0,61734,0,0,0,0,10708,0,0,0,0,0,4934,0,0,0,0,4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40654,0,0,0,4,1,1,41,0,0,22,121,0,1,48,1,0,65,59,1,0,10,120,0,243,303,2,0,0,1,0,1,9,14,0,0,2,130,5,Letrozole
584.T5,18011,37491,8883,0,23016,0,6406,0,0,0,0,9865,37553,0,0,0,4380,0,0,244871,0,18468,0,0,0,0,26237,7389,9555,0,0,21460,0,0,0,0,13294,25691,7569,0,19329,0,0,3127,0,0,0,1570,0,0,0,0,0,0,0,131702,0,0,55547,3811,0,0,1,0,20,0,1,0,6,511,0,0,0,2,3,2,359,0,69,11,3,0,0,10,9,0,1,1,1,51,0,6,1,0,2,11,5,Letrozole
585.T5,24037,6618,11570,0,0,1915,0,0,0,0,23638,8318,22670,0,0,0,4242,0,0,0,0,0,0,0,0,0,33947,0,0,0,0,14186,0,1431,0,0,4350,0,11522,0,15945,0,4770,0,0,7791,0,0,0,91090,0,0,8036,0,0,0,0,0,49294,3285,0,0,4,0,8,0,1,0,1302,143,2,11,0,5,3,77,63,0,52,5,4,3,0,2,19,0,0,1,1,3,0,34,1,0,2,4,5,Letrozole
586.T5,0,23686,897,0,0,0,0,0,0,0,13236,12651,36385,0,0,0,0,0,0,110448,0,0,0,0,0,0,60986,0,0,0,0,12277,1450,0,0,0,0,25488,13714,0,0,0,0,0,0,0,0,1896,0,4532,0,11201,0,0,0,0,0,0,186922,0,0,0,2,0,0,50,2,0,11,10,0,2,3,1,0,81,26,0,2,3,139,0,98,96,1,0,0,6,0,31,13,48,2,0,0,238,5,Letrozole
